Epoch 045 | loss=0.2024 | val_F1=0.1824 | val_AUPR=0.1025 | time=64.28s
Epoch 046 | loss=0.1868 | val_F1=0.1900 | val_AUPR=0.1054 | time=56.78s
Epoch 047 | loss=0.2027 | val_F1=0.2133 | val_AUPR=0.1238 | time=65.31s
Epoch 048 | loss=0.1869 | val_F1=0.2128 | val_AUPR=0.1235 | time=68.21s
Epoch 049 | loss=0.1906 | val_F1=0.2041 | val_AUPR=0.1171 | time=64.56s
Epoch 050 | loss=0.1827 | val_F1=0.2250 | val_AUPR=0.1308 | time=62.12s
Epoch 051 | loss=0.1897 | val_F1=0.2353 | val_AUPR=0.1435 | time=73.27s
Epoch 052 | loss=0.1906 | val_F1=0.2396 | val_AUPR=0.1480 | time=69.25s
Epoch 053 | loss=0.1924 | val_F1=0.2422 | val_AUPR=0.1522 | time=67.32s
Epoch 054 | loss=0.1705 | val_F1=0.2479 | val_AUPR=0.1518 | time=66.73s
Epoch 055 | loss=0.1801 | val_F1=0.2492 | val_AUPR=0.1544 | time=64.40s
Epoch 056 | loss=0.1920 | val_F1=0.2497 | val_AUPR=0.1584 | time=61.30s
Epoch 057 | loss=0.1694 | val_F1=0.2416 | val_AUPR=0.1510 | time=63.12s
Epoch 058 | loss=0.1784 | val_F1=0.2615 | val_AUPR=0.1623 | time=63.87s
Epoch 059 | loss=0.1817 | val_F1=0.2617 | val_AUPR=0.1633 | time=69.35s
Epoch 060 | loss=0.1711 | val_F1=0.2554 | val_AUPR=0.1642 | time=68.21s
Epoch 061 | loss=0.1624 | val_F1=0.2541 | val_AUPR=0.1618 | time=64.36s
Epoch 062 | loss=0.1664 | val_F1=0.2667 | val_AUPR=0.1687 | time=64.11s
Epoch 063 | loss=0.1700 | val_F1=0.2599 | val_AUPR=0.1629 | time=61.79s
Epoch 064 | loss=0.1731 | val_F1=0.2671 | val_AUPR=0.1692 | time=61.51s
Epoch 065 | loss=0.1659 | val_F1=0.2648 | val_AUPR=0.1678 | time=60.15s
Epoch 066 | loss=0.1581 | val_F1=0.2649 | val_AUPR=0.1670 | time=71.91s
