Epoch 046 | loss=0.2824 | val_F1=0.0972 | val_AUPR=0.0379 | time=49.22s
Epoch 047 | loss=0.2851 | val_F1=0.0957 | val_AUPR=0.0399 | time=49.37s
Epoch 048 | loss=0.2698 | val_F1=0.1088 | val_AUPR=0.0457 | time=50.27s
Epoch 049 | loss=0.2659 | val_F1=0.1084 | val_AUPR=0.0427 | time=48.89s
Epoch 050 | loss=0.2614 | val_F1=0.1201 | val_AUPR=0.0512 | time=49.37s
Epoch 051 | loss=0.2611 | val_F1=0.1189 | val_AUPR=0.0542 | time=49.73s
Epoch 052 | loss=0.2593 | val_F1=0.1447 | val_AUPR=0.0626 | time=48.19s
Epoch 053 | loss=0.2625 | val_F1=0.1394 | val_AUPR=0.0689 | time=48.27s
Epoch 054 | loss=0.2546 | val_F1=0.1592 | val_AUPR=0.0827 | time=49.20s
Epoch 055 | loss=0.2438 | val_F1=0.1571 | val_AUPR=0.0807 | time=50.82s
Epoch 056 | loss=0.2401 | val_F1=0.1774 | val_AUPR=0.0954 | time=48.30s
Epoch 057 | loss=0.2315 | val_F1=0.1847 | val_AUPR=0.0932 | time=48.63s
Epoch 058 | loss=0.2243 | val_F1=0.1964 | val_AUPR=0.1083 | time=48.90s
Epoch 059 | loss=0.2147 | val_F1=0.1967 | val_AUPR=0.1122 | time=49.75s
Epoch 060 | loss=0.2196 | val_F1=0.1960 | val_AUPR=0.1122 | time=49.45s
Epoch 061 | loss=0.2219 | val_F1=0.2157 | val_AUPR=0.1247 | time=49.24s
Epoch 062 | loss=0.2496 | val_F1=0.2176 | val_AUPR=0.1356 | time=49.61s
Epoch 063 | loss=0.1954 | val_F1=0.2203 | val_AUPR=0.1298 | time=48.15s
Epoch 064 | loss=0.1973 | val_F1=0.2282 | val_AUPR=0.1409 | time=48.11s
Epoch 065 | loss=0.1884 | val_F1=0.2462 | val_AUPR=0.1514 | time=47.94s
Epoch 066 | loss=0.1756 | val_F1=0.2361 | val_AUPR=0.1469 | time=48.27s
Epoch 067 | loss=0.1660 | val_F1=0.2535 | val_AUPR=0.1603 | time=48.10s
Epoch 068 | loss=0.1716 | val_F1=0.2376 | val_AUPR=0.1522 | time=48.35s
Epoch 069 | loss=0.1759 | val_F1=0.2473 | val_AUPR=0.1575 | time=48.76s
Epoch 070 | loss=0.1583 | val_F1=0.2589 | val_AUPR=0.1669 | time=48.93s
Epoch 071 | loss=0.1616 | val_F1=0.2639 | val_AUPR=0.1690 | time=47.68s
Epoch 072 | loss=0.1715 | val_F1=0.2542 | val_AUPR=0.1623 | time=48.20s
Epoch 073 | loss=0.1705 | val_F1=0.2671 | val_AUPR=0.1732 | time=48.24s
Epoch 074 | loss=0.1837 | val_F1=0.2601 | val_AUPR=0.1695 | time=47.90s
Epoch 075 | loss=0.1545 | val_F1=0.2597 | val_AUPR=0.1672 | time=48.24s
Epoch 076 | loss=0.1573 | val_F1=0.2595 | val_AUPR=0.1710 | time=47.65s
Epoch 077 | loss=0.1706 | val_F1=0.2629 | val_AUPR=0.1722 | time=48.03s
Epoch 078 | loss=0.1511 | val_F1=0.2648 | val_AUPR=0.1741 | time=48.21s
Epoch 079 | loss=0.1578 | val_F1=0.2651 | val_AUPR=0.1727 | time=48.45s
Epoch 080 | loss=0.1447 | val_F1=0.2665 | val_AUPR=0.1773 | time=47.83s
Epoch 081 | loss=0.1674 | val_F1=0.2715 | val_AUPR=0.1810 | time=48.27s
Epoch 082 | loss=0.1695 | val_F1=0.2658 | val_AUPR=0.1802 | time=48.71s
Epoch 083 | loss=0.1534 | val_F1=0.2708 | val_AUPR=0.1803 | time=47.96s
Epoch 084 | loss=0.1686 | val_F1=0.2703 | val_AUPR=0.1795 | time=47.98s
Epoch 085 | loss=0.1577 | val_F1=0.2697 | val_AUPR=0.1799 | time=48.32s
Epoch 086 | loss=0.1626 | val_F1=0.2724 | val_AUPR=0.1781 | time=47.96s
Epoch 087 | loss=0.1608 | val_F1=0.2459 | val_AUPR=0.1647 | time=48.46s
Epoch 088 | loss=0.1436 | val_F1=0.2699 | val_AUPR=0.1830 | time=48.75s
Epoch 089 | loss=0.1565 | val_F1=0.2778 | val_AUPR=0.1842 | time=47.95s
Epoch 090 | loss=0.1491 | val_F1=0.2790 | val_AUPR=0.1865 | time=47.95s
Epoch 091 | loss=0.1374 | val_F1=0.2671 | val_AUPR=0.1830 | time=48.25s
Epoch 092 | loss=0.1569 | val_F1=0.2714 | val_AUPR=0.1827 | time=48.00s
Epoch 093 | loss=0.1560 | val_F1=0.2756 | val_AUPR=0.1898 | time=47.61s
Epoch 094 | loss=0.1530 | val_F1=0.2737 | val_AUPR=0.1866 | time=48.20s
Epoch 095 | loss=0.1812 | val_F1=0.2694 | val_AUPR=0.1859 | time=48.31s
Epoch 096 | loss=0.1602 | val_F1=0.2794 | val_AUPR=0.1906 | time=48.63s
Epoch 097 | loss=0.1491 | val_F1=0.2703 | val_AUPR=0.1874 | time=48.98s
Epoch 098 | loss=0.1516 | val_F1=0.2711 | val_AUPR=0.1878 | time=47.89s
Epoch 099 | loss=0.1474 | val_F1=0.2714 | val_AUPR=0.1896 | time=48.58s
Epoch 100 | loss=0.1386 | val_F1=0.2713 | val_AUPR=0.1895 | time=49.24s
Epoch 101 | loss=0.1397 | val_F1=0.2740 | val_AUPR=0.1872 | time=48.51s
Epoch 102 | loss=0.1396 | val_F1=0.2766 | val_AUPR=0.1896 | time=49.59s
Epoch 103 | loss=0.1422 | val_F1=0.2807 | val_AUPR=0.1908 | time=49.19s
Epoch 104 | loss=0.1347 | val_F1=0.2745 | val_AUPR=0.1890 | time=49.13s
Epoch 105 | loss=0.1355 | val_F1=0.2775 | val_AUPR=0.1924 | time=48.53s
Epoch 106 | loss=0.1432 | val_F1=0.2793 | val_AUPR=0.1909 | time=48.97s
Epoch 107 | loss=0.1669 | val_F1=0.2760 | val_AUPR=0.1905 | time=48.72s
Epoch 108 | loss=0.1428 | val_F1=0.2805 | val_AUPR=0.1917 | time=49.16s
Epoch 109 | loss=0.1388 | val_F1=0.2754 | val_AUPR=0.1918 | time=47.91s
Epoch 110 | loss=0.1374 | val_F1=0.2773 | val_AUPR=0.1945 | time=48.16s
Epoch 111 | loss=0.1363 | val_F1=0.2680 | val_AUPR=0.1882 | time=47.69s
Epoch 112 | loss=0.1349 | val_F1=0.2753 | val_AUPR=0.1939 | time=48.45s
Epoch 113 | loss=0.1386 | val_F1=0.2808 | val_AUPR=0.1958 | time=48.66s
Epoch 114 | loss=0.1465 | val_F1=0.2802 | val_AUPR=0.1962 | time=48.89s
Epoch 115 | loss=0.1411 | val_F1=0.2757 | val_AUPR=0.1940 | time=48.80s
Epoch 116 | loss=0.1324 | val_F1=0.2827 | val_AUPR=0.1951 | time=49.14s
